Gene,Chromosome (NC_*),Nucleotide Location(start),Nucleotide Location(end),Strand
WBGene00012051,NC_003283.11,15802723,15804723,-
WBGene00012070,NC_003283.11,15432726,15434726,-
WBGene00012089,NC_003282.8,14535067,14537067,-
WBGene00012108,NC_003281.10,13495671,13497671,-
WBGene00012127,NC_003281.10,11346483,11348483,-
WBGene00012146,NC_003281.10,4747794,4749794,+
WBGene00012165,NC_003279.8,7063252,7065252,+
WBGene00012184,NC_003283.11,20652650,20654650,+
WBGene00012203,NC_003280.10,11462894,11464894,+
WBGene00012222,NC_003280.10,11952508,11954508,+
WBGene00012241,NC_003279.8,13852638,13854638,+
WBGene00012260,NC_003284.9,11085262,11087262,-
WBGene00012279,NC_003283.11,12666226,12668226,+
WBGene00012298,NC_003279.8,9063160,9065160,-
WBGene00012317,NC_003279.8,11204922,11206922,+
WBGene00012336,NC_003283.11,13036566,13038566,-
WBGene00012355,NC_003279.8,13657431,13659431,+
WBGene00012374,NC_003280.10,13181528,13183528,+
WBGene00012393,NC_003279.8,13751124,13753124,-
WBGene00012412,NC_003284.9,15799695,15801695,-
WBGene00012431,NC_003282.8,9247519,9249519,+
WBGene00012450,NC_003283.11,18785739,18787739,+
WBGene00012469,NC_003280.10,12107857,12109857,-
WBGene00012488,NC_003279.8,12865350,12867350,-
WBGene00012526,NC_003283.11,16615128,16617128,-
WBGene00012545,NC_003281.10,12827368,12829368,+
WBGene00012564,NC_003283.11,18121939,18123939,+
WBGene00012583,NC_003280.10,12581113,12583113,-
WBGene00012602,NC_003280.10,12677035,12679035,+
WBGene00012621,NC_003283.11,20511961,20513961,+
WBGene00012640,NC_003282.8,13453500,13455500,+
WBGene00012659,NC_003281.10,10707028,10709028,-
WBGene00012678,NC_003283.11,19101786,19103786,-
WBGene00012697,NC_003283.11,18979306,18981306,+
WBGene00012716,NC_003281.10,13167916,13169916,+
WBGene00012735,NC_003279.8,13366888,13368888,-
WBGene00012754,NC_003281.10,11696869,11698869,+
WBGene00012773,NC_003282.8,15068918,15070918,-
WBGene00012792,NC_003282.8,16785324,16787324,+
WBGene00012811,NC_003283.11,19390129,19392129,-
WBGene00012830,NC_003283.11,19642239,19644239,+
WBGene00012849,NC_003283.11,20636955,20638955,-
WBGene00012868,NC_003282.8,13502856,13504856,-
WBGene00012887,NC_003282.8,13786907,13788907,+
WBGene00012906,NC_003280.10,12785416,12787416,-
WBGene00012925,NC_003281.10,11216791,11218791,+
WBGene00012982,NC_003280.10,14243603,14245603,-
WBGene00013001,NC_003280.10,13541056,13543056,-
WBGene00013020,NC_003279.8,13474185,13476185,-
WBGene00013039,NC_003281.10,12456850,12458850,-
WBGene00013058,NC_003283.11,18280897,18282897,+
WBGene00013077,NC_003283.11,18556643,18558643,-
WBGene00013096,NC_003280.10,13886544,13888544,+
WBGene00013134,NC_003279.8,11969847,11971847,-
WBGene00013153,NC_003280.10,14983806,14985806,+
WBGene00013172,NC_003280.10,15140981,15142981,-
WBGene00013210,NC_003280.10,13725799,13727799,-
WBGene00013248,NC_003280.10,12148918,12150918,+
WBGene00013267,NC_003280.10,12275044,12277044,-
WBGene00013286,NC_003280.10,12429843,12431843,-
WBGene00013305,NC_003282.8,14756662,14758662,-
WBGene00013324,NC_003282.8,14767730,14769730,-
WBGene00013343,NC_003283.11,18020479,18022479,+
WBGene00013362,NC_003283.11,19934323,19936323,-
WBGene00013381,NC_003282.8,13399289,13401289,+
WBGene00013400,NC_003284.9,11912124,11914124,+
WBGene00013419,NC_003282.8,16410020,16412020,+
WBGene00013438,NC_003281.10,11559152,11561152,+
WBGene00013457,NC_003282.8,14383683,14385683,-
WBGene00013476,NC_003282.8,10953255,10955255,+
WBGene00013495,NC_003283.11,16716418,16718418,+
WBGene00013514,NC_003282.8,9045352,9047352,-
WBGene00013552,NC_003281.10,12225331,12227331,-
WBGene00013571,NC_003283.11,15201025,15203025,+
WBGene00013590,NC_003280.10,13083926,13085926,-
WBGene00013609,NC_003283.11,16852102,16854102,-
WBGene00013628,NC_003283.11,16988714,16990714,-
WBGene00013647,NC_003282.8,15901225,15903225,-
WBGene00013666,NC_003279.8,14343815,14345815,-
WBGene00013685,NC_003279.8,14498295,14500295,-
WBGene00013704,NC_003279.8,10115159,10117159,+
WBGene00013723,NC_003279.8,10469511,10471511,+
WBGene00013742,NC_003281.10,12697494,12699494,+
WBGene00013761,NC_003283.11,20215297,20217297,-
WBGene00013799,NC_003282.8,17048357,17050357,-
WBGene00013837,NC_003281.10,1275613,1277613,-
WBGene00013856,NC_003282.8,10726034,10728034,+
WBGene00013875,NC_003283.11,14171481,14173481,-
WBGene00013894,NC_003279.8,10349369,10351369,-
WBGene00013913,NC_003281.10,12762553,12764553,+
WBGene00013932,NC_003279.8,11155369,11157369,-
WBGene00013951,NC_003283.11,18424571,18426571,-
WBGene00013970,NC_003279.8,14973419,14975419,+
WBGene00013989,NC_003281.10,9142211,9144211,+
WBGene00014008,NC_003282.8,10904382,10906382,-
WBGene00014027,NC_003281.10,8910144,8912144,+
WBGene00014046,NC_003280.10,10481874,10483874,-
WBGene00014065,NC_003280.10,10455279,10457279,+
WBGene00014084,NC_003282.8,12558868,12560868,+
WBGene00014103,NC_003279.8,14198020,14200020,+
WBGene00014122,NC_003283.11,12170214,12172214,-
WBGene00014141,NC_003284.9,9451994,9453994,-
WBGene00014160,NC_003280.10,9833955,9835955,-
WBGene00014179,NC_003281.10,12987518,12989518,-
WBGene00014198,NC_003279.8,13244853,13246853,+
WBGene00014217,NC_003284.9,13788832,13790832,+
WBGene00014236,NC_003279.8,13206441,13208441,+
WBGene00014255,NC_003280.10,9665677,9667677,-
WBGene00014274,NC_003284.9,14008253,14010253,+
WBGene00014293,NC_003282.8,8992748,8994748,+
WBGene00014312,NC_003280.10,13850787,13852787,+
WBGene00014331,NC_003283.11,13003580,13005580,-
WBGene00014350,NC_003283.11,15548612,15550612,+
WBGene00014369,NC_003284.9,15241427,15243427,-
WBGene00014388,NC_003284.9,16271367,16273367,-
WBGene00014407,NC_003283.11,16336548,16338548,+
WBGene00014426,NC_003280.10,11157874,11159874,-
WBGene00014445,NC_003281.10,9861688,9863688,-
WBGene00014464,NC_001328.1,2447,4447,+
WBGene00014483,NC_003279.8,12173911,12175911,-
WBGene00014502,NC_003279.8,13324251,13326251,-
WBGene00014521,NC_003283.11,11174873,11176873,-
WBGene00014540,NC_003284.9,12106219,12108219,-
WBGene00014559,NC_003282.8,16386456,16388456,+
WBGene00014578,NC_003281.10,12399980,12401980,-
WBGene00014597,NC_003282.8,16397184,16399184,+
WBGene00014616,NC_003283.11,19721031,19723031,+
WBGene00014635,NC_003280.10,10300399,10302399,+
WBGene00014654,NC_003283.11,19587335,19589335,-
WBGene00014673,NC_003280.10,9866399,9868399,-
WBGene00014692,NC_003282.8,9495710,9497710,-
WBGene00014711,NC_003283.11,9519676,9521676,+
WBGene00014730,NC_003280.10,14001035,14003035,-
WBGene00014768,NC_003283.11,17025255,17027255,+
WBGene00014787,NC_003283.11,17668432,17670432,-
WBGene00014806,NC_003279.8,12111017,12113017,+
WBGene00014825,NC_003282.8,10832363,10834363,+
WBGene00014844,NC_003283.11,15739659,15741659,-
WBGene00014863,NC_003282.8,9245156,9247156,+
WBGene00014882,NC_003283.11,19082605,19084605,+
WBGene00014920,NC_003280.10,15118951,15120951,-
WBGene00014939,NC_003281.10,11472462,11474462,+
WBGene00014958,NC_003282.8,15554037,15556037,+
WBGene00014977,NC_003283.11,20300135,20302135,+
WBGene00014996,NC_003282.8,9688392,9690392,-
WBGene00015015,NC_003280.10,2046656,2048656,-
WBGene00015034,NC_003279.8,5964183,5966183,-
WBGene00015053,NC_003283.11,9132255,9134255,+
WBGene00015072,NC_003283.11,5265681,5267681,-
WBGene00015091,NC_003279.8,5261694,5263694,+
WBGene00015110,NC_003280.10,2305041,2307041,+
WBGene00015129,NC_003281.10,8700339,8702339,-
WBGene00015148,NC_003281.10,5709324,5711324,-
WBGene00015167,NC_003284.9,7063336,7065336,-
WBGene00015186,NC_003280.10,284625,286625,+
WBGene00015205,NC_003280.10,7699033,7701033,-
WBGene00015224,NC_003283.11,8758718,8760718,-
WBGene00015243,NC_003281.10,1887304,1889304,-
WBGene00015262,NC_003284.9,9144148,9146148,+
WBGene00015281,NC_003282.8,6636556,6638556,+
WBGene00015300,NC_003280.10,4281845,4283845,-
WBGene00015338,NC_003283.11,4932706,4934706,+
WBGene00015357,NC_003284.9,3693238,3695238,-
WBGene00015376,NC_003284.9,6353585,6355585,+
WBGene00015395,NC_003283.11,7343794,7345794,+
WBGene00015414,NC_003282.8,3392366,3394366,+
WBGene00015433,NC_003283.11,3366073,3368073,+
WBGene00015471,NC_003284.9,1123615,1125615,+
WBGene00015509,NC_003282.8,7829298,7831298,-
WBGene00015528,NC_003284.9,8877649,8879649,+
WBGene00015547,NC_003284.9,16611451,16613451,+
WBGene00015566,NC_003280.10,7397012,7399012,+
WBGene00015604,NC_003280.10,1624672,1626672,-
WBGene00015623,NC_003284.9,6019936,6021936,-
WBGene00015642,NC_003281.10,6558587,6560587,-
WBGene00015661,NC_003283.11,8085241,8087241,-
WBGene00015680,NC_003282.8,5822793,5824793,+
WBGene00015718,NC_003283.11,7286999,7288999,+
WBGene00015737,NC_003283.11,4980973,4982973,-
WBGene00015756,NC_003283.11,561134,563134,+
WBGene00015775,NC_003284.9,1830037,1832037,-
WBGene00015794,NC_003280.10,6987880,6989880,+
WBGene00015813,NC_003281.10,6366042,6368042,+
WBGene00015832,NC_003280.10,1878763,1880763,-
WBGene00015851,NC_003280.10,3444947,3446947,+
WBGene00015870,NC_003280.10,3844328,3846328,+
WBGene00015889,NC_003280.10,5559737,5561737,+
WBGene00015908,NC_003279.8,6680300,6682300,+
WBGene00015927,NC_003282.8,6785272,6787272,-
WBGene00015946,NC_003280.10,5715845,5717845,-
WBGene00015965,NC_003283.11,5548062,5550062,-
WBGene00015984,NC_003283.11,4748594,4750594,+
WBGene00016003,NC_003280.10,6695566,6697566,-
WBGene00016022,NC_003280.10,79266,81266,-
WBGene00016060,NC_003283.11,5512348,5514348,+
WBGene00016136,NC_003284.9,5340307,5342307,+
WBGene00016155,NC_003279.8,6033448,6035448,+
WBGene00016174,NC_003280.10,7165849,7167849,-
WBGene00016193,NC_003281.10,5918322,5920322,+
WBGene00016212,NC_003280.10,6292627,6294627,-
WBGene00016231,NC_003283.11,2578898,2580898,+
WBGene00016250,NC_003281.10,8446909,8448909,-
WBGene00016269,NC_003284.9,17072188,17074188,-
WBGene00016288,NC_003282.8,5796794,5798794,-
WBGene00016307,NC_003280.10,967062,969062,-
WBGene00016326,NC_003279.8,3816809,3818809,-
WBGene00016345,NC_003284.9,17303220,17305220,+
WBGene00016364,NC_003283.11,6982913,6984913,-
WBGene00016383,NC_003282.8,7812809,7814809,-
WBGene00016402,NC_003282.8,7121413,7123413,-
WBGene00016421,NC_003279.8,5870174,5872174,+
WBGene00016440,NC_003281.10,4868778,4870778,+
WBGene00016459,NC_003279.8,10811812,10813812,+
WBGene00016478,NC_003283.11,3149489,3151489,-
WBGene00016497,NC_003283.11,7847984,7849984,+
WBGene00016516,NC_003283.11,1505310,1507310,-
WBGene00016535,NC_003284.9,7880948,7882948,-
WBGene00016554,NC_003280.10,1996861,1998861,+
WBGene00016573,NC_003280.10,3003799,3005799,+
WBGene00016592,NC_003282.8,12285928,12287928,+
WBGene00016611,NC_003282.8,6572338,6574338,-
WBGene00016630,NC_003280.10,6890400,6892400,-
WBGene00016649,NC_003282.8,889239,891239,+
WBGene00016668,NC_003282.8,2468414,2470414,+
WBGene00016687,NC_003283.11,2175714,2177714,+
WBGene00016706,NC_003284.9,4620324,4622324,+
WBGene00016725,NC_003284.9,1230758,1232758,-
WBGene00016744,NC_003279.8,6922973,6924973,-
WBGene00016763,NC_003282.8,6215372,6217372,+
WBGene00016782,NC_003283.11,4041932,4043932,+
WBGene00016801,NC_003281.10,8177224,8179224,+
WBGene00016820,NC_003283.11,7600249,7602249,-
WBGene00016839,NC_003279.8,3897397,3899397,-
WBGene00016858,NC_003283.11,3071648,3073648,-
WBGene00016877,NC_003282.8,17174477,17176477,+
WBGene00016896,NC_003284.9,6863424,6865424,-
WBGene00016915,NC_003284.9,7840541,7842541,+
WBGene00016934,NC_003284.9,5522819,5524819,-
WBGene00016953,NC_003282.8,5683287,5685287,+
WBGene00016972,NC_003280.10,6528729,6530729,-
WBGene00017010,NC_003279.8,4555653,4557653,+
WBGene00017029,NC_003281.10,5522030,5524030,-
WBGene00017048,NC_003284.9,8549073,8551073,-
WBGene00017105,NC_003281.10,2445674,2447674,-
WBGene00017124,NC_003280.10,7187420,7189420,+
WBGene00017143,NC_003280.10,5417229,5419229,+
WBGene00017162,NC_003281.10,5853269,5855269,-
WBGene00017181,NC_003280.10,3275023,3277023,-
WBGene00017200,NC_003283.11,7624850,7626850,+
WBGene00017219,NC_003280.10,5423858,5425858,-
WBGene00017238,NC_003282.8,8687810,8689810,-
WBGene00017257,NC_003284.9,8426838,8428838,+
WBGene00017295,NC_003284.9,1494356,1496356,-
WBGene00017314,NC_003283.11,7173501,7175501,+
WBGene00017333,NC_003283.11,7147470,7149470,-
WBGene00017352,NC_003280.10,7122892,7124892,-
WBGene00017371,NC_003280.10,4685241,4687241,+
WBGene00017390,NC_003280.10,5494540,5496540,+
WBGene00017428,NC_003284.9,5805922,5807922,-
WBGene00017447,NC_003284.9,6928704,6930704,-
WBGene00017466,NC_003283.11,5136219,5138219,+
WBGene00017485,NC_003282.8,4289474,4291474,+
WBGene00017504,NC_003283.11,1599038,1601038,+
WBGene00017523,NC_003280.10,2383434,2385434,-
WBGene00017542,NC_003282.8,8343818,8345818,+
WBGene00017580,NC_003284.9,9242223,9244223,-
WBGene00017599,NC_003283.11,7550121,7552121,+
WBGene00017618,NC_003283.11,7027155,7029155,-
WBGene00017637,NC_003283.11,8168269,8170269,-
WBGene00017656,NC_003283.11,9122480,9124480,+
WBGene00017675,NC_003279.8,4914047,4916047,-
WBGene00017694,NC_003281.10,8646889,8648889,+
WBGene00017713,NC_003280.10,2673634,2675634,-
WBGene00017732,NC_003279.8,2436765,2438765,+
WBGene00017751,NC_003281.10,6498514,6500514,+
WBGene00017770,NC_003283.11,5687226,5689226,-
WBGene00017789,NC_003283.11,7433930,7435930,+
WBGene00017808,NC_003281.10,4830307,4832307,-
WBGene00017827,NC_003281.10,4891252,4893252,-
WBGene00017865,NC_003284.9,7670755,7672755,-
WBGene00017922,NC_003282.8,4647760,4649760,+
WBGene00017941,NC_003284.9,1792816,1794816,+
WBGene00017960,NC_003283.11,664437,666437,-
WBGene00017979,NC_003279.8,2666160,2668160,+
WBGene00017998,NC_003282.8,7718016,7720016,-
WBGene00018017,NC_003280.10,5040091,5042091,-
WBGene00018036,NC_003284.9,5363813,5365813,+
WBGene00018055,NC_003283.11,3282929,3284929,+
WBGene00018074,NC_003284.9,931804,933804,+
WBGene00018093,NC_003283.11,2095304,2097304,-
WBGene00018112,NC_003283.11,1779236,1781236,-
WBGene00018131,NC_003281.10,6721389,6723389,+
WBGene00018150,NC_003281.10,7180167,7182167,+
WBGene00018169,NC_003282.8,6589696,6591696,+
WBGene00018188,NC_003284.9,16430443,16432443,+
WBGene00018207,NC_003283.11,4735831,4737831,+
WBGene00018226,NC_003284.9,8365853,8367853,+
WBGene00018245,NC_003281.10,171717,173717,-
WBGene00018264,NC_003283.11,2249410,2251410,-
WBGene00018283,NC_003284.9,8408367,8410367,-
WBGene00018302,NC_003280.10,6740914,6742914,+
WBGene00018321,NC_003282.8,5364867,5366867,+
WBGene00018340,NC_003281.10,6157758,6159758,-
WBGene00018359,NC_003282.8,8117090,8119090,+
WBGene00018378,NC_003280.10,2355095,2357095,+
WBGene00018397,NC_003280.10,7370295,7372295,-
WBGene00018435,NC_003280.10,1726506,1728506,+
WBGene00018454,NC_003280.10,991293,993293,+
WBGene00018473,NC_003282.8,7649459,7651459,+
WBGene00018492,NC_003283.11,6533060,6535060,-
WBGene00018511,NC_003279.8,5626288,5628288,-
WBGene00018530,NC_003279.8,3967279,3969279,-
WBGene00018549,NC_003282.8,3993392,3995392,-
WBGene00018568,NC_003284.9,9060823,9062823,+
WBGene00018606,NC_003284.9,7502907,7504907,-
WBGene00018625,NC_003279.8,10934815,10936815,+
WBGene00018644,NC_003282.8,4112833,4114833,+
WBGene00018663,NC_003280.10,1912841,1914841,-
WBGene00018682,NC_003284.9,458651,460651,+
WBGene00018701,NC_003284.9,3087549,3089549,+
WBGene00018720,NC_003281.10,1943637,1945637,-
WBGene00018739,NC_003284.9,2130241,2132241,-
WBGene00018758,NC_003283.11,2613310,2615310,+
WBGene00018777,NC_003282.8,1327162,1329162,+
WBGene00018815,NC_003280.10,1398405,1400405,+
WBGene00018834,NC_003281.10,8800701,8802701,-
WBGene00018853,NC_003284.9,1033548,1035548,+
WBGene00018872,NC_003280.10,5873614,5875614,-
WBGene00018891,NC_003279.8,5653648,5655648,-
WBGene00018910,NC_003283.11,2457637,2459637,+
WBGene00018929,NC_003282.8,772944,774944,-
WBGene00018948,NC_003281.10,7309290,7311290,+
WBGene00018967,NC_003281.10,5591718,5593718,-
WBGene00018986,NC_003284.9,863578,865578,-
WBGene00019005,NC_003279.8,6550436,6552436,-
WBGene00019024,NC_003280.10,5148449,5150449,-
WBGene00019043,NC_003280.10,1694630,1696630,-
WBGene00019062,NC_003280.10,6388037,6390037,-
WBGene00019081,NC_003279.8,5525340,5527340,-
WBGene00019100,NC_003283.11,3644243,3646243,-
WBGene00019119,NC_003280.10,5636359,5638359,+
WBGene00019138,NC_003280.10,2026625,2028625,-
WBGene00019157,NC_003281.10,2945118,2947118,+
WBGene00019176,NC_003282.8,6149923,6151923,-
WBGene00019214,NC_003282.8,6825777,6827777,+
WBGene00019233,NC_003283.11,4904253,4906253,+
WBGene00019290,NC_003280.10,7412030,7414030,-
WBGene00019309,NC_003280.10,1070406,1072406,+
WBGene00019328,NC_003281.10,821222,823222,+
WBGene00019347,NC_003284.9,16976608,16978608,+
WBGene00019385,NC_003283.11,1668973,1670973,+
WBGene00019404,NC_003284.9,4920992,4922992,-
WBGene00019423,NC_003284.9,16492930,16494930,+
WBGene00019442,NC_003283.11,8888930,8890930,-
WBGene00019461,NC_003279.8,2597979,2599979,+
WBGene00019480,NC_003283.11,8217884,8219884,-
WBGene00019518,NC_003284.9,16556434,16558434,+
WBGene00019537,NC_003282.8,1708265,1710265,+
WBGene00019556,NC_003283.11,854849,856849,+
WBGene00019575,NC_003284.9,17117294,17119294,+
WBGene00019594,NC_003279.8,3151285,3153285,+
WBGene00019613,NC_003280.10,133466,135466,+
WBGene00019651,NC_003283.11,5050261,5052261,+
WBGene00019689,NC_003280.10,2822404,2824404,+
WBGene00019727,NC_003284.9,8761907,8763907,+
WBGene00019746,NC_003280.10,4555787,4557787,+
WBGene00019765,NC_003283.11,5954847,5956847,-
WBGene00019784,NC_003282.8,2241038,2243038,+
WBGene00019803,NC_003284.9,7559085,7561085,-
WBGene00019822,NC_003282.8,237450,239450,-
WBGene00019841,NC_003283.11,4805947,4807947,-
WBGene00019879,NC_003281.10,8347121,8349121,+
WBGene00019898,NC_003282.8,7511233,7513233,+
WBGene00019917,NC_003280.10,942066,944066,+
WBGene00019955,NC_003282.8,4447739,4449739,+
WBGene00019993,NC_003279.8,6421889,6423889,-
